# Annunci ILLUSTRATIVI (sintetici, seed=42) - prezzi RICHIESTI, non di vendita.
# Da sostituire con annunci reali Idealista/Immobiliare.it con le stesse colonne.
# Generato da genera_annunci_esempio.py
fonte,prezzo_richiesto_eur,mq,stato_conservazione,distanza_mare_km,ascensore,garage
immobiliare.it,233000,101,2,1.32,0,0
idealista,305000,69,4,0.34,1,1
immobiliare.it,270000,90,3,1.18,1,0
idealista,300000,94,3,0.49,1,1
immobiliare.it,196000,58,3,0.25,0,0
idealista,204000,94,1,0.51,0,0
idealista,182000,85,1,0.97,0,0
immobiliare.it,135000,64,1,1.73,1,1
idealista,218000,63,3,0.3,0,1
idealista,260000,97,2,0.85,1,1
idealista,201000,90,2,2.45,1,1
immobiliare.it,302000,97,2,0.17,1,1
immobiliare.it,180000,54,4,1.0,0,0
idealista,119000,43,2,0.6,1,0
idealista,242000,67,3,1.17,1,0
immobiliare.it,253000,85,2,0.17,1,0
immobiliare.it,166000,51,3,0.97,0,0
immobiliare.it,92000,58,1,2.28,1,0
immobiliare.it,246000,81,2,0.47,0,0
immobiliare.it,373000,111,3,0.19,1,0
idealista,362000,114,2,0.11,1,0
idealista,337000,102,4,0.28,1,0
immobiliare.it,255000,80,3,0.64,0,1
idealista,240000,79,3,0.48,1,0
immobiliare.it,100000,51,2,2.41,0,0
idealista,250000,106,3,1.99,1,0
idealista,318000,92,4,0.67,0,1
immobiliare.it,202000,51,4,0.19,1,1
immobiliare.it,114000,41,1,0.54,1,1
immobiliare.it,233000,108,1,0.67,1,1
immobiliare.it,154000,106,1,2.3,0,0
immobiliare.it,249000,102,1,0.29,1,0
idealista,156000,51,2,0.24,1,1
idealista,347000,115,4,1.9,1,0
immobiliare.it,194000,90,2,2.1,1,0
immobiliare.it,151000,46,4,1.17,0,0
immobiliare.it,186000,60,3,0.93,0,0
immobiliare.it,309000,103,2,0.32,1,0
immobiliare.it,349000,101,3,0.2,1,1
idealista,230000,114,2,1.92,0,0
immobiliare.it,356000,118,3,0.58,1,0
idealista,266000,76,4,0.18,0,0
immobiliare.it,416000,119,4,1.34,1,0
immobiliare.it,114000,42,2,1.46,0,1
immobiliare.it,148000,44,3,0.41,0,0
immobiliare.it,230000,107,1,0.59,1,0
idealista,256000,98,2,1.0,1,0
immobiliare.it,281000,96,2,0.09,0,0
immobiliare.it,199000,51,4,0.9,0,1
idealista,199000,77,1,0.11,1,0
idealista,210000,72,2,0.31,1,1
immobiliare.it,354000,96,3,0.72,1,0
idealista,234000,81,3,1.14,0,1
idealista,118000,49,1,0.43,1,1
idealista,166000,41,4,0.76,1,1
immobiliare.it,277000,101,2,0.99,1,1
immobiliare.it,141000,53,2,1.92,0,1
idealista,152000,46,3,0.25,0,1
idealista,178000,63,2,0.31,0,0
immobiliare.it,205000,101,1,1.64,1,0
immobiliare.it,327000,80,4,0.31,1,1
immobiliare.it,211000,90,2,1.23,1,1
immobiliare.it,108000,40,2,0.94,0,0
immobiliare.it,414000,117,3,0.44,1,0
immobiliare.it,314000,118,2,0.38,1,0
immobiliare.it,282000,77,4,1.06,0,0
idealista,106000,42,2,0.58,0,0
immobiliare.it,120000,43,2,1.1,0,1
idealista,289000,111,3,1.65,1,0
idealista,223000,110,2,2.13,0,1
idealista,161000,50,3,0.5,0,0
idealista,140000,45,2,0.06,1,0
immobiliare.it,200000,83,2,1.62,1,0
immobiliare.it,186000,63,2,0.2,1,0
idealista,170000,75,2,2.26,0,1
idealista,278000,92,4,1.25,1,1
idealista,140000,45,2,0.28,1,1
idealista,143000,64,2,1.35,1,0
idealista,178000,66,2,0.4,1,0
idealista,290000,66,4,0.07,1,1
idealista,106000,40,2,0.06,0,0
idealista,402000,108,3,0.12,0,0
immobiliare.it,324000,118,2,0.72,1,0
idealista,134000,42,2,0.62,0,1
immobiliare.it,191000,87,1,0.99,0,1
immobiliare.it,174000,86,1,1.12,1,1
idealista,207000,63,3,0.43,0,1
immobiliare.it,176000,71,3,2.19,1,0
idealista,329000,103,3,0.23,1,1
idealista,219000,55,4,0.65,0,1
