# Compravendite SIMULATE (sintetiche, seed=7) - prezzi di VENDITA.
# Servizi granulari: mq, piano, ascensore, classe_energetica, stato, distanza mare, garage.
# Da sostituire con compravendite reali (stesse colonne). Generato da dataset_granulare.py
zona_omi,prezzo_vendita_eur,mq,piano,ascensore,classe_energetica,stato_ristrutturazione,distanza_mare_km,garage
B3,299000,109,6,1,F,2,0.81,0
B3,165000,63,1,1,D,2,0.31,0
B3,356000,128,3,1,E,2,0.58,1
B3,289000,95,1,1,D,3,0.83,1
B3,307000,71,3,1,C,4,0.22,0
C1,169000,106,0,1,D,1,1.99,0
B3,246000,73,4,1,F,2,0.1,0
B3,286000,100,2,1,D,2,0.59,0
C1,347000,99,0,1,E,4,1.27,0
C1,101000,51,2,0,G,2,1.87,1
B3,151000,72,7,0,A,2,0.53,0
B3,120000,40,3,1,A,2,0.69,0
B3,406000,118,5,1,E,3,0.5,0
C1,205000,123,2,0,E,1,1.16,1
B3,312000,95,3,1,E,3,0.06,1
B3,495000,125,6,1,D,3,0.34,0
C1,249000,85,7,1,E,3,1.78,0
C1,256000,77,7,1,G,3,1.02,0
B3,345000,127,2,1,C,2,0.59,1
C1,214000,93,2,1,E,2,1.09,1
B3,189000,96,0,0,D,1,0.58,0
B3,401000,111,1,0,D,4,0.83,1
B3,282000,60,7,1,A,3,0.26,1
B3,361000,124,1,1,F,3,0.31,0
B3,464000,111,3,1,B,4,0.08,1
B3,281000,66,7,1,F,4,0.73,0
B3,202000,96,2,1,E,1,0.54,0
B3,527000,117,4,1,C,4,0.66,0
B3,179000,72,1,1,E,2,0.85,0
B3,200000,72,2,1,D,2,0.76,1
B3,266000,107,6,0,B,2,0.12,1
B3,313000,121,4,0,D,2,0.12,0
B3,138000,72,2,0,E,1,0.8,0
B3,355000,85,5,1,C,3,0.1,0
C1,164000,54,0,0,E,3,1.11,0
B3,205000,96,6,0,E,2,0.39,0
B3,131000,41,2,0,D,3,0.41,0
C1,60000,73,6,0,E,1,2.46,1
C1,159000,49,3,1,B,4,2.46,0
B3,338000,122,0,1,E,2,0.21,0
B3,242000,104,1,0,G,1,0.32,0
B3,137000,49,3,1,D,1,0.24,1
B3,389000,99,6,1,C,3,0.21,0
B3,277000,118,2,1,C,2,0.72,0
