# Compravendite SIMULATE (seed=7) zona B3 Andora, prezzi di VENDITA,
# ancorate ai valori OMI reali. Da sostituire con atti reali (stesse colonne).
prezzo_vendita_eur,metratura,piano,ascensore,classe_energetica,stato_conservazione,distanza_mare_km,box_auto
309000,120,4,0,D,2,0.77,1
253000,81,6,1,C,2,0.97,0
436000,129,6,1,G,3,0.69,1
129000,41,6,0,D,3,0.1,0
216000,60,7,1,E,2,0.62,1
129000,52,0,0,F,2,1.0,0
138000,46,1,1,F,3,0.9,0
222000,67,4,1,F,2,0.5,0
300000,96,4,1,D,2,0.75,0
150000,57,5,0,D,3,1.16,0
416000,124,4,1,C,3,1.02,0
507000,119,7,1,E,3,0.26,0
361000,118,4,0,D,3,0.09,1
270000,49,3,1,E,4,0.08,0
254000,92,2,0,D,2,0.45,0
141000,38,5,1,F,3,1.12,0
328000,95,3,1,E,3,0.07,1
326000,69,6,1,E,4,0.26,1
398000,128,1,1,F,3,0.56,0
357000,75,4,1,B,4,1.06,0
335000,112,5,0,E,3,0.34,1
112000,42,5,0,F,2,0.28,1
258000,92,3,1,G,2,0.6,0
116000,43,5,0,E,2,0.26,0
382000,111,5,1,F,3,1.1,1
222000,60,7,1,E,2,0.34,0
171000,39,3,0,D,4,0.83,0
186000,90,2,0,F,1,0.27,0
233000,67,1,1,F,3,0.44,0
459000,108,0,1,C,4,0.2,0
409000,98,0,1,F,4,0.16,0
134000,52,5,1,E,1,1.08,0
268000,61,7,1,B,3,0.49,1
208000,72,3,1,D,2,1.01,1
166000,45,2,1,C,3,0.58,0
170000,50,6,1,F,1,0.2,1
271000,55,0,0,D,4,0.76,1
379000,113,3,1,D,3,0.94,0
250000,62,5,1,F,3,0.27,1
375000,104,4,0,G,4,0.79,0
213000,54,6,1,E,3,0.79,1
463000,115,6,1,D,3,0.09,0
229000,122,2,0,E,1,1.01,1
258000,122,3,0,B,1,1.0,1
249000,79,7,1,F,2,0.71,0
144000,40,6,1,D,2,0.59,0
302000,119,2,1,D,2,1.19,1
181000,49,7,1,F,2,0.63,1
349000,86,6,1,E,3,0.36,0
104000,54,2,0,B,1,1.05,0
200000,57,5,1,F,2,1.17,1
153000,59,4,0,F,2,0.13,0
403000,116,5,1,D,3,0.86,0
264000,92,5,1,G,2,1.11,0
214000,90,3,1,F,2,1.16,0
313000,76,6,1,F,3,0.55,0
370000,108,1,0,A,3,0.68,0
272000,86,0,1,B,3,0.88,0
292000,79,0,1,B,3,0.1,1
172000,56,5,1,E,2,1.06,0
314000,95,0,1,E,3,0.59,0
224000,72,6,1,E,2,0.91,1
335000,115,0,1,E,2,0.49,0
318000,89,6,1,E,3,0.72,0
339000,64,1,1,D,4,0.39,1
248000,119,3,0,C,2,1.14,0
334000,117,1,1,C,2,0.13,0
343000,108,2,1,D,2,0.59,1
361000,108,4,1,F,3,0.86,1
276000,97,0,1,E,2,0.33,0
163000,56,0,1,D,2,0.78,1
313000,103,7,1,C,2,0.94,0
314000,98,4,1,E,3,1.11,1
169000,51,4,1,E,2,0.61,1
382000,126,1,1,C,2,0.38,1
315000,110,0,1,E,2,0.36,0
461000,122,1,1,A,3,0.24,0
543000,125,7,1,B,4,0.3,1
451000,129,3,1,E,3,1.1,0
230000,85,4,1,E,1,0.44,0
176000,68,4,1,C,1,0.92,0
423000,120,0,1,F,3,0.37,1
193000,51,0,1,C,3,0.33,0
266000,49,6,1,B,4,0.86,1
153000,45,1,1,E,3,1.02,0
245000,64,2,1,E,3,1.04,1
311000,73,0,1,E,4,0.85,0
363000,117,0,1,C,2,0.59,1
185000,53,5,1,C,2,0.36,0
189000,84,0,0,B,1,0.71,0
464000,92,3,1,A,4,0.13,1
330000,62,6,1,D,4,0.13,0
181000,74,0,0,E,1,0.1,0
314000,90,1,0,E,3,0.42,0
302000,83,1,1,F,3,0.72,0
200000,62,1,1,D,2,0.51,0
274000,122,4,0,C,2,0.99,0
163000,55,0,1,G,2,0.43,1
189000,106,3,0,D,1,0.65,0
202000,66,3,0,A,3,0.98,1
223000,84,3,1,C,1,0.81,1
261000,70,1,1,C,3,0.58,1
236000,75,3,0,F,2,0.34,1
139000,50,6,0,E,2,0.34,1
165000,50,2,0,B,3,0.6,1
377000,124,7,1,F,1,0.43,1
293000,89,3,1,G,3,0.58,0
504000,120,5,1,C,4,0.95,0
379000,124,5,1,E,2,0.48,0
131000,50,3,1,E,1,0.55,0
208000,59,4,1,E,2,0.31,1
169000,47,2,1,E,3,0.26,0
302000,91,7,1,E,2,0.51,1
381000,127,2,1,C,2,0.14,0
319000,129,3,1,D,1,0.75,0
125000,38,7,1,E,1,0.43,1
162000,40,1,0,C,2,0.13,1
410000,120,7,1,B,3,1.15,1
131000,49,5,0,C,1,0.08,1
450000,111,5,1,D,3,0.15,1
419000,125,5,1,D,3,0.72,0
509000,101,6,1,F,4,0.2,1
564000,127,6,1,D,4,1.03,0
184000,56,1,0,D,3,0.56,0
294000,124,3,0,A,1,0.37,0
206000,84,4,0,G,2,0.64,1
438000,114,7,1,E,3,0.52,0
179000,55,4,1,G,2,0.85,1
107000,43,4,1,D,1,0.81,0
237000,53,2,0,G,4,0.81,0
430000,111,4,1,D,3,0.38,0
265000,87,2,1,D,2,0.98,1
417000,99,0,0,F,4,0.16,1
581000,117,7,1,E,4,0.28,1
234000,49,2,1,G,4,0.38,1
219000,55,1,0,D,3,0.2,1
384000,74,7,1,C,4,0.38,1
342000,84,3,1,E,4,0.5,1
191000,65,3,1,C,1,0.08,1
100000,67,7,0,F,1,0.73,0
444000,95,2,1,D,4,0.67,1
287000,105,3,1,G,2,0.93,0
134000,54,6,0,D,3,0.95,0
402000,122,5,1,E,2,0.38,0
359000,129,3,1,D,1,0.08,0
202000,66,4,0,F,3,0.47,1
201000,72,0,1,F,1,0.06,1
217000,120,7,0,B,1,0.38,0
274000,65,5,1,F,3,0.64,0
263000,108,4,1,F,1,0.58,0
116000,43,0,1,C,2,1.05,0
82000,39,5,0,D,2,1.12,0
147000,98,6,0,D,1,0.92,0
239000,73,2,0,E,3,0.56,1
307000,119,1,1,F,2,0.76,0
372000,114,5,1,F,2,0.2,0
224000,44,3,1,D,4,0.95,0
315000,83,7,1,D,2,0.19,0
404000,81,6,1,B,4,0.24,0
304000,89,3,1,G,2,0.35,1
305000,64,6,1,G,4,0.87,1
143000,108,7,0,E,1,1.16,0
306000,115,7,1,E,1,1.04,0
317000,86,2,0,C,4,0.69,0
154000,49,0,0,A,2,0.43,0
105000,41,7,1,D,1,0.89,0
295000,94,5,1,F,2,0.81,0
143000,53,0,0,D,2,1.13,0
225000,44,2,0,A,4,0.45,1
458000,94,5,1,E,4,0.65,0
201000,71,0,1,C,2,0.53,0
259000,116,3,0,E,2,1.01,1
253000,97,6,1,G,1,0.56,0
274000,68,7,1,C,3,1.05,0
422000,110,0,1,D,3,0.12,1
333000,94,6,1,C,2,0.71,0
170000,46,1,0,G,3,0.47,1
305000,102,4,1,D,2,0.35,0
396000,100,7,1,D,3,0.78,0
275000,83,3,1,D,2,0.07,0
153000,47,2,1,F,1,0.46,1
187000,67,4,0,E,2,0.19,1
274000,91,2,1,F,2,0.21,1
352000,129,3,0,F,3,0.99,0
414000,72,6,1,D,4,0.3,1
311000,111,4,1,E,2,0.56,0
304000,106,6,1,D,1,0.51,0
403000,115,1,0,C,3,1.14,0
394000,114,4,1,D,3,0.85,1
217000,71,2,1,F,2,0.62,0
242000,84,4,1,G,2,0.3,0
303000,111,0,1,D,2,0.64,1
345000,128,3,1,G,2,0.4,0
248000,77,2,1,B,2,0.79,1
331000,87,5,1,C,3,1.11,1
220000,69,7,1,B,2,1.14,0
194000,61,3,1,D,2,0.87,0
131000,44,6,1,C,2,0.97,1
349000,106,5,1,D,3,1.15,0
311000,108,6,1,C,1,0.53,0
125000,47,0,0,C,2,0.88,0
314000,65,1,1,G,4,0.09,1
320000,117,2,1,A,2,0.78,0
371000,111,2,1,B,3,0.47,0
229000,55,6,1,E,2,0.57,1
210000,55,7,1,D,2,0.12,1
179000,47,5,1,D,3,0.07,0
256000,113,6,0,A,2,1.04,1
339000,111,4,1,F,2,1.04,1
509000,108,6,1,C,4,0.44,0
384000,124,1,1,E,3,1.15,1
172000,63,7,1,D,1,1.01,0
411000,120,0,1,E,3,0.31,0
183000,52,6,1,D,2,0.64,1
204000,64,3,1,D,2,0.57,0
201000,85,3,0,E,2,0.96,0
411000,104,7,1,C,3,0.82,1
323000,98,1,1,F,3,0.07,0
217000,55,7,1,C,2,0.09,1
261000,101,2,1,E,2,0.66,0
287000,91,6,1,D,2,1.14,1
356000,109,2,1,A,2,0.47,1
152000,65,2,0,B,2,1.17,0
180000,72,4,0,E,2,0.53,0
215000,59,0,0,D,3,0.07,0
306000,64,4,1,C,4,0.36,0
332000,115,7,0,C,3,0.23,1
125000,61,1,1,E,1,1.01,0
258000,83,2,1,D,2,0.58,1
284000,110,3,1,C,1,0.34,1
409000,84,6,1,F,4,0.48,0
360000,125,5,1,C,1,0.32,0
189000,75,7,1,F,1,1.13,0
523000,121,4,1,C,4,1.14,0
110000,38,2,0,A,2,1.15,1
293000,72,2,1,F,4,0.84,0
300000,70,3,1,D,4,0.76,0
316000,90,7,1,F,2,0.32,1
371000,129,1,1,G,2,0.44,1
526000,123,1,1,C,4,0.16,0
227000,73,0,0,C,2,0.4,0
224000,83,1,0,D,2,0.85,1
118000,65,1,0,E,1,1.14,0
370000,127,6,1,D,2,0.87,1
508000,109,6,1,C,4,0.88,0
170000,68,0,1,F,2,0.9,0
373000,120,0,1,E,3,0.59,0
215000,48,3,1,G,4,0.67,0
412000,113,0,1,F,3,0.19,1
289000,121,3,0,F,2,0.85,1
108000,38,4,0,B,2,0.43,0
261000,71,1,1,D,3,0.38,0
182000,62,1,0,B,3,1.08,0
347000,113,4,1,F,3,0.92,0
247000,97,1,1,E,2,1.1,0
280000,122,4,1,E,1,0.9,0
325000,113,2,0,D,2,0.59,1
225000,65,0,0,E,3,0.33,0
315000,96,3,1,F,3,0.91,0
345000,108,3,1,E,2,0.24,1
227000,51,2,0,F,4,0.9,0
173000,54,2,1,C,2,0.56,0
452000,102,6,1,F,4,0.59,0
216000,64,5,1,G,3,0.97,0
389000,114,6,1,C,2,0.41,0
345000,90,0,1,F,3,0.39,1
134000,43,4,1,G,2,0.19,0
261000,95,1,1,B,2,0.85,0
106000,42,3,1,G,2,0.97,0
331000,100,7,1,E,2,0.77,1
171000,62,0,0,A,1,0.6,1
202000,57,6,1,F,2,0.29,0
209000,71,2,0,D,2,0.69,1
91000,39,1,0,E,1,0.82,1
307000,77,4,1,B,3,0.29,0
370000,105,0,1,C,3,0.81,1
172000,48,4,1,E,3,0.57,0
435000,91,0,0,A,4,0.65,0
279000,113,1,0,E,2,0.88,1
475000,115,5,1,A,3,0.08,0
308000,101,1,1,G,3,0.65,0
400000,116,2,1,F,3,0.19,0
217000,68,0,1,E,2,0.9,1
418000,116,3,1,E,3,0.26,1
250000,84,2,1,C,2,1.04,0
308000,102,5,1,E,2,0.35,0
422000,105,2,0,D,4,0.88,0
277000,88,2,0,B,3,1.01,0
208000,90,0,1,G,1,0.33,0
213000,71,6,1,B,1,0.61,0
595000,124,6,1,F,4,0.47,0
389000,115,2,1,D,3,0.86,0
444000,109,7,1,C,2,0.23,1
259000,67,2,1,A,3,0.16,0
492000,121,0,0,C,4,0.39,0
548000,122,7,1,D,4,0.6,0
260000,58,7,1,D,3,0.64,1
306000,61,4,1,A,4,0.11,0
219000,58,1,0,E,3,0.73,0
278000,100,5,1,G,2,0.71,0
115000,47,0,0,C,1,1.18,1
255000,116,4,0,D,1,0.27,0
132000,40,0,0,E,3,1.19,1
345000,94,5,1,A,2,0.94,1
254000,112,6,0,B,2,0.44,0
247000,100,0,1,F,2,1.16,0
138000,43,6,1,D,2,1.18,1
358000,106,5,1,D,2,0.17,1
457000,97,4,1,C,4,0.63,0
462000,122,5,1,D,3,0.07,0
624000,128,6,1,F,4,0.25,1
339000,94,7,1,A,1,0.22,1
354000,114,7,0,E,4,0.95,0
209000,73,4,0,C,2,0.36,1
278000,58,5,1,E,4,0.92,1
219000,110,2,1,E,1,1.18,0
192000,39,1,0,F,4,0.2,0
558000,120,2,0,D,4,0.46,0
311000,98,3,1,D,2,0.39,1
382000,115,3,1,C,2,0.85,0
468000,92,4,1,F,4,0.28,1
354000,116,7,1,C,2,0.96,0
345000,118,2,1,E,2,0.47,1
212000,85,3,1,F,1,0.35,0
246000,75,6,0,F,3,0.21,1
285000,100,4,1,D,2,0.68,0
385000,114,0,1,F,3,0.3,0
204000,72,4,0,C,3,0.98,0
488000,101,6,1,D,4,0.91,1
237000,85,0,1,E,2,0.44,0
291000,61,3,1,G,4,0.88,0
206000,76,0,1,D,2,0.75,0
234000,74,0,1,F,3,0.09,0
369000,72,2,1,G,4,0.34,1
322000,93,7,1,F,3,1.04,0
231000,103,6,0,E,2,0.3,0
202000,48,7,0,E,4,0.07,1
288000,95,5,1,E,2,1.06,0
220000,61,6,1,F,2,0.67,1
344000,91,0,0,F,4,0.65,0
388000,125,5,0,C,3,0.21,1
363000,117,1,1,E,3,0.3,1
399000,105,6,1,C,3,0.93,1
476000,89,7,1,F,4,0.58,0
281000,88,6,1,B,2,0.94,0
249000,75,7,1,B,2,0.54,0
450000,124,6,0,E,4,0.58,1
352000,80,5,1,C,4,1.14,0
570000,124,5,1,D,4,0.63,1
295000,119,1,1,A,1,0.59,0
224000,94,3,0,C,1,0.6,1
173000,58,5,1,C,1,0.62,0
211000,81,4,1,G,2,0.68,0
180000,68,0,0,D,2,0.86,1
217000,119,7,0,E,1,0.09,0
160000,62,2,1,G,1,0.52,1
314000,113,4,1,D,2,1.18,0
282000,69,2,1,B,3,1.1,1
270000,65,3,1,B,3,0.19,0
385000,104,2,1,E,3,0.87,1
143000,55,2,0,D,2,0.9,0
387000,112,4,0,D,3,0.36,0
346000,120,0,1,F,3,0.81,0
426000,110,4,1,G,3,0.12,0
319000,114,1,1,C,2,0.52,0
316000,127,3,1,B,1,1.0,0
189000,65,3,1,E,2,0.83,0
206000,57,1,1,E,3,0.32,1
300000,87,0,1,E,3,1.1,0
153000,54,6,1,F,2,0.88,0
160000,47,2,0,C,3,0.72,0
239000,59,6,1,F,3,0.13,1
300000,78,4,0,G,4,0.52,1
335000,125,6,1,D,1,0.73,0
192000,59,0,0,D,3,0.36,0
300000,119,0,0,E,2,0.44,0
124000,48,1,0,C,1,0.78,0
215000,51,4,1,D,3,0.35,0
248000,95,6,0,G,3,0.7,0
353000,79,4,1,C,3,0.17,1
158000,44,7,1,F,2,0.51,0
128000,42,3,1,E,2,0.69,1
246000,62,2,1,A,3,0.62,1
178000,69,4,0,E,2,0.11,1
169000,57,5,1,F,2,0.85,0
388000,114,7,1,B,3,1.08,1
225000,75,3,0,B,3,0.83,0
177000,74,2,1,D,1,0.87,1
203000,56,2,0,F,4,1.0,0
277000,93,4,1,D,2,0.72,1
335000,88,6,0,A,4,0.94,0
289000,113,1,1,A,1,0.52,1
182000,42,7,1,B,3,0.67,0
331000,129,7,1,G,1,0.9,1
126000,44,3,1,F,2,0.65,0
232000,81,5,1,D,1,0.06,0
307000,98,4,1,F,2,0.82,1
178000,71,2,1,E,1,0.72,0
132000,38,4,0,D,3,0.4,1
432000,120,4,0,C,4,0.88,0
