# ISTAT - Indice prezzi abitazioni (IPAB), base 2015=100, abitazioni totali.
# Macro-area NORD-OVEST (REF_AREA=ITC). Dataflow SDMX IT1,143_497,1.0 (Q.ITC.59.4.ALL).
# Fonte REALE: esploradati.istat.it/SDMXWS/rest. Ri-scaricabile con fetch_istat_ipab().
Data,Trimestre,Indice_Prezzo
2015-03-31,2015-Q1,99.4
2015-06-30,2015-Q2,99.8
2015-09-30,2015-Q3,101.1
2015-12-31,2015-Q4,99.7
2016-03-31,2016-Q1,99.5
2016-06-30,2016-Q2,100.5
2016-09-30,2016-Q3,100.5
2016-12-31,2016-Q4,100.3
2017-03-31,2017-Q1,99.3
2017-06-30,2017-Q2,99.5
2017-09-30,2017-Q3,99.6
2017-12-31,2017-Q4,99.5
2018-03-31,2018-Q1,98.8
2018-06-30,2018-Q2,100.0
2018-09-30,2018-Q3,99.5
2018-12-31,2018-Q4,99.2
2019-03-31,2019-Q1,98.9
2019-06-30,2019-Q2,100.2
2019-09-30,2019-Q3,101.1
2019-12-31,2019-Q4,101.2
2020-03-31,2020-Q1,102.0
2020-06-30,2020-Q2,105.5
2020-09-30,2020-Q3,103.3
2020-12-31,2020-Q4,102.8
2021-03-31,2021-Q1,103.8
2021-06-30,2021-Q2,105.6
2021-09-30,2021-Q3,107.4
2021-12-31,2021-Q4,107.3
2022-03-31,2022-Q1,108.8
2022-06-30,2022-Q2,111.4
2022-09-30,2022-Q3,111.3
2022-12-31,2022-Q4,111.0
2023-03-31,2023-Q1,111.0
2023-06-30,2023-Q2,114.2
2023-09-30,2023-Q3,113.0
2023-12-31,2023-Q4,112.9
2024-03-31,2024-Q1,113.1
2024-06-30,2024-Q2,117.0
2024-09-30,2024-Q3,117.2
2024-12-31,2024-Q4,117.8
2025-03-31,2025-Q1,117.4
2025-06-30,2025-Q2,120.9
2025-09-30,2025-Q3,122.0
2025-12-31,2025-Q4,123.0
